STATION,YEAR,BOARDS,ALIGHTS
Load between Hegewisch and Hammond,1993,4085,4257
Clyde,1993,110,117
Hermosa,1993,69,76
Cragin,1993,53,45
Stony Island,1991,263,230
Bryn Mawr,1991,203,269
South Shore,1991,458,429
Windsor Park,1991,353,312
Cheltenham (79th Street),1991,288,278
83rd Street,1991,486,508
87th Street,1991,339,401
93rd Street (South Chicago),1991,1012,1029
Hegewisch,1991,1520,1550
State Street,1991,104,89
Stewart Ridge,1991,86,52
West Pullman,1991,56,48
Racine Avenue,1991,63,85
Ashland Avenue,1991,147,138
Burr Oak,1991,307,282
Blue Island,1991,359,299
Millennium Station,1991,19727,17689
Van Buren Street,1991,6968,8313
Roosevelt Road,1991,335,609
18th Street,1991,12,20
McCormick Place,1991,139,152
27th Street,1991,141,230
47th Street (Kenwood),1991,55,99
53rd Street (Hyde Park),1991,629,798
55th-56th-57th Street,1991,531,563
59th Street (University of Chicago),1991,1115,1046
63rd Street,1991,67,120
75th Street (Grand Crossing),1991,41,26
79th Street (Chatham),1991,105,110
83rd Street (Avalon Park),1991,72,73
87th Street (Woodruff),1991,48,52
91st Street (Chesterfield),1991,32,44
95th Street (Chicago State University),1991,47,70
103rd Street (Rosemoor),1991,91,59
107th Street,1991,54,50
111th Street,1991,53,43
Kensington (115th Street),1991,1188,1161
Riverdale,1991,602,622
Ivanhoe,1991,1213,1246
147th Street (Sibley Boulevard),1991,1609,1543
Harvey,1991,1470,1442
Hazel Crest,1991,817,879
Calumet,1991,1145,1204
Homewood,1991,1715,1678
Flossmoor,1991,1328,1253
Olympia Fields,1991,247,278
211th Street (Lincoln Highway),1991,1129,1140
Matteson,1991,1068,1078
Richton Park,1991,1607,1609
University Park,1991,790,816
LaSalle Street,1991,14730,14404
Gresham,1991,363,389
Longwood (95th Street),1991,120,136
Washington Heights,1991,216,197
Blue Island (Vermont Street),1991,780,895
Robbins,1991,111,105
Midlothian,1991,1218,1322
Oak Forest,1991,1447,1472
Tinley Park,1991,1356,1420
80th Avenue (Tinley Park),1991,1268,1209
Mokena,1991,624,609
New Lenox,1991,646,651
Joliet,1991,503,535
Brainerd,1991,293,286
91st Street (Beverly Hills),1991,645,617
95th Street (Beverly Hills),1991,676,735
99th Street (Beverly Hills),1991,827,850
103rd Street (Beverly Hills),1991,1081,1127
107th Street (Beverly Hills),1991,681,687
111th Street (Morgan Park),1991,1029,1036
115th Street (Morgan Park),1991,338,289
119th Street,1991,484,490
123rd Street,1991,56,53
Prairie Street,1991,85,73
Union Station,1991,42301,42054
Wrightwood,1991,210,202
Ashburn,1991,408,386
Oak Lawn,1991,793,802
Chicago Ridge,1991,447,449
Worth,1991,417,398
Palos Park,1991,188,194
143rd Street (Orland Park),1991,305,288
153rd Street (Orland Park),1991,197,178
Summit,1991,144,160
Willow Springs,1991,134,122
Lemont,1991,245,237
Lockport,1991,92,92
Halsted Street,1991,34,53
Western Avenue (18th),1991,77,131
Cicero,1991,182,171
LaVergne,1991,254,240
Berwyn,1991,811,912
Harlem Avenue,1991,768,727
Riverside,1991,468,485
Hollywood,1991,116,125
Brookfield,1991,618,616
Congress Park,1991,105,109
LaGrange Road,1991,1423,1476
Stone Avenue (LaGrange),1991,1171,1045
Western Springs,1991,1166,1137
Highlands,1991,207,212
Hinsdale,1991,1113,1084
West Hinsdale,1991,340,331
Clarendon Hills,1991,986,971
Westmont,1991,1254,1224
Fairview Avenue (Downers Grove),1991,537,556
Main Street (Downers Grove),1991,2044,2060
Belmont,1991,1410,1435
Lisle,1991,2227,2246
Naperville,1991,3150,3311
Route 59,1991,1740,1728
Aurora,1991,1014,931
Kedzie,1991,44,41
Oak Park (Marion Street),1991,1032,1084
River Forest,1991,292,296
Maywood,1991,88,91
Melrose Park,1991,112,124
Bellwood,1991,196,189
Berkeley,1991,221,240
Elmhurst,1991,1704,1707
Villa Park,1991,1138,1142
Lombard,1991,1123,1140
Glen Ellyn,1991,2070,2045
College Avenue,1991,999,967
Wheaton,1991,2115,2133
Winfield,1991,562,560
West Chicago,1991,485,493
Geneva,1991,1366,1382
Western Avenue (Grand),1991,404,765
Hanson Park,1991,63,50
Galewood,1991,262,277
Mars,1991,117,129
Mont Clare,1991,474,470
Elmwood Park,1991,400,394
River Grove,1991,244,234
Franklin Park,1991,490,441
Mannheim,1991,48,46
Bensenville,1991,447,454
Wood Dale,1991,614,607
Itasca,1991,497,519
Medinah,1991,276,267
Roselle,1991,1760,1729
Schaumburg,1991,1238,1254
Hanover Park,1991,1171,1174
Bartlett,1991,1075,1086
National Street,1991,421,430
Elgin,1991,358,373
Big Timber Road,1991,124,132
Ogilvie Transportation Center,1991,39145,39011
Clybourn,1991,676,1177
Irving Park,1991,257,292
Jefferson Park,1991,583,637
Gladstone Park,1991,97,85
Norwood Park,1991,239,242
Edison Park,1991,402,397
Park Ridge,1991,818,831
Dee Road,1991,403,403
Des Plaines,1991,1146,1131
Cumberland,1991,537,520
Mount Prospect,1991,2073,2077
Arlington Heights,1991,3129,3150
Arlington Park,1991,1829,1820
Palatine,1991,2010,1994
Barrington,1991,1748,1793
Fox River Grove,1991,350,352
Cary,1991,732,732
Crystal Lake,1991,1248,1238
Woodstock,1991,327,319
Harvard,1991,170,172
McHenry,1991,131,125
Healy,1991,216,205
Grayland,1991,119,122
Mayfair,1991,109,109
Forest Glen,1991,155,132
Edgebrook,1991,385,382
Morton Grove,1991,672,701
Golf,1991,267,219
Glenview,1991,1450,1397
Northbrook,1991,1458,1455
Deerfield,1991,1669,1666
Lake Forest (West),1991,522,474
Libertyville,1991,1139,1141
Grayslake,1991,369,353
Round Lake,1991,371,385
Long Lake,1991,93,91
Ingleside,1991,48,47
Fox Lake,1991,433,429
Ravenswood,1991,663,593
Rogers Park,1991,881,865
Main Street (Evanston),1991,820,858
Davis Street (Evanston),1991,1073,1154
Central Street (Evanston),1991,1317,1229
Wilmette,1991,1473,1425
Kenilworth,1991,533,462
Indian Hill,1991,396,338
Winnetka,1991,689,692
Hubbard Woods,1991,470,435
Glencoe,1991,784,779
Braeside,1991,324,286
Ravinia,1991,346,288
Highland Park,1991,1240,1182
Highwood,1991,290,256
Fort Sheridan,1991,338,308
Lake Forest,1991,700,666
Lake Bluff,1991,357,381
Great Lakes,1991,98,93
North Chicago,1991,165,185
Waukegan,1991,780,763
Zion,1991,92,84
Winthrop Harbor,1991,28,27
Kenosha,1991,296,269
Load between Hegewisch and Hammond,1991,4640,4760
Clyde,1991,113,140
Hermosa,1991,74,85
Cragin,1991,44,33
Stony Island,1989,247,288
Bryn Mawr,1989,171,230
South Shore,1989,372,392
Windsor Park,1989,381,330
Cheltenham (79th Street),1989,258,268
83rd Street,1989,511,547
87th Street,1989,377,368
93rd Street (South Chicago),1989,997,1088
Hegewisch,1989,1607,1636
State Street,1989,81,55
Stewart Ridge,1989,90,73
West Pullman,1989,36,40
Racine Avenue,1989,71,61
Ashland Avenue,1989,154,142
Burr Oak,1989,367,365
Blue Island,1989,323,307
Millennium Station,1989,19399,18413
Van Buren Street,1989,7642,8475
Roosevelt Road,1989,297,600
18th Street,1989,20,28
McCormick Place,1989,140,169
27th Street,1989,139,168
47th Street (Kenwood),1989,69,78
53rd Street (Hyde Park),1989,656,693
55th-56th-57th Street,1989,542,557
59th Street (University of Chicago),1989,914,870
63rd Street,1989,33,61
75th Street (Grand Crossing),1989,47,27
79th Street (Chatham),1989,103,111
83rd Street (Avalon Park),1989,67,74
87th Street (Woodruff),1989,65,80
91st Street (Chesterfield),1989,51,38
95th Street (Chicago State University),1989,51,53
103rd Street (Rosemoor),1989,74,68
107th Street,1989,48,46
111th Street,1989,57,56
Kensington (115th Street),1989,1024,1104
Riverdale,1989,661,661
Ivanhoe,1989,1368,1330
147th Street (Sibley Boulevard),1989,1591,1472
Harvey,1989,1546,1571
Hazel Crest,1989,779,793
Calumet,1989,1351,1243
Homewood,1989,1880,1851
Flossmoor,1989,1416,1337
Olympia Fields,1989,310,335
211th Street (Lincoln Highway),1989,1082,1053
Matteson,1989,1372,1316
Richton Park,1989,1680,1522
University Park,1989,782,761
LaSalle Street,1989,15018,15039
Gresham,1989,385,382
Longwood (95th Street),1989,103,114
Washington Heights,1989,138,190
Blue Island (Vermont Street),1989,947,976
Robbins,1989,72,76
Midlothian,1989,1194,1215
Oak Forest,1989,1495,1479
Tinley Park,1989,1397,1350
80th Avenue (Tinley Park),1989,1246,1266
Mokena,1989,561,566
New Lenox,1989,605,614
Joliet,1989,491,504
Brainerd,1989,288,288
91st Street (Beverly Hills),1989,706,689
95th Street (Beverly Hills),1989,769,803
99th Street (Beverly Hills),1989,941,917
103rd Street (Beverly Hills),1989,1205,1185
107th Street (Beverly Hills),1989,754,730
111th Street (Morgan Park),1989,1176,1130
115th Street (Morgan Park),1989,355,359
119th Street,1989,539,493
123rd Street,1989,75,81
Prairie Street,1989,91,102
Union Station,1989,42409,42471
Wrightwood,1989,238,234
Ashburn,1989,424,466
Oak Lawn,1989,813,846
Chicago Ridge,1989,466,451
Worth,1989,413,374
Palos Park,1989,223,193
143rd Street (Orland Park),1989,418,393
Summit,1989,109,108
Willow Springs,1989,142,144
Lemont,1989,239,237
Lockport,1989,100,97
Halsted Street,1989,30,33
Western Avenue (18th),1989,109,110
Cicero,1989,245,245
LaVergne,1989,289,270
Berwyn,1989,867,969
Harlem Avenue,1989,859,748
Riverside,1989,583,584
Hollywood,1989,160,141
Brookfield,1989,688,690
Congress Park,1989,116,142
LaGrange Road,1989,1548,1547
Stone Avenue (LaGrange),1989,1101,994
Western Springs,1989,1118,1099
Highlands,1989,202,223
Hinsdale,1989,1223,1186
West Hinsdale,1989,439,377
Clarendon Hills,1989,1011,1049
Westmont,1989,1273,1308
Fairview Avenue (Downers Grove),1989,562,543
Main Street (Downers Grove),1989,2261,2317
Belmont,1989,1511,1531
Lisle,1989,2222,2151
Naperville,1989,3510,3485
Route 59,1989,1112,1129
Aurora,1989,1056,1133
Kedzie,1989,38,36
Oak Park (Marion Street),1989,841,1052
River Forest,1989,270,300
Maywood,1989,73,79
Melrose Park,1989,146,131
Bellwood,1989,202,184
Berkeley,1989,248,267
Elmhurst,1989,1783,1780
Villa Park,1989,1219,1228
Lombard,1989,1146,1177
Glen Ellyn,1989,2186,2137
College Avenue,1989,946,930
Wheaton,1989,2133,2071
Winfield,1989,525,529
West Chicago,1989,464,471
Geneva,1989,1290,1299
Western Avenue (Grand),1989,355,652
Hanson Park,1989,43,38
Galewood,1989,287,275
Mars,1989,117,115
Mont Clare,1989,464,478
Elmwood Park,1989,436,433
River Grove,1989,238,229
Franklin Park,1989,553,540
Mannheim,1989,38,36
Bensenville,1989,527,544
Wood Dale,1989,708,687
Itasca,1989,491,475
Medinah,1989,249,259
Roselle,1989,1827,1824
Schaumburg,1989,1147,1124
Hanover Park,1989,1150,1122
Bartlett,1989,915,871
National Street,1989,255,279
Elgin,1989,465,488
Big Timber Road,1989,33,32
Ogilvie Transportation Center,1989,38730,39133
Clybourn,1989,687,914
Irving Park,1989,248,249
Jefferson Park,1989,548,572
Gladstone Park,1989,94,92
Norwood Park,1989,244,233
Edison Park,1989,425,404
Park Ridge,1989,917,865
Dee Road,1989,416,444
Des Plaines,1989,1252,1218
Cumberland,1989,604,583
Mount Prospect,1989,2147,2084
Arlington Heights,1989,3179,3117
Arlington Park,1989,1845,1835
Palatine,1989,2104,2042
Barrington,1989,1838,1808
Fox River Grove,1989,321,297
Cary,1989,615,611
Crystal Lake,1989,1105,1081
Woodstock,1989,289,292
Harvard,1989,140,148
McHenry,1989,115,111
Healy,1989,239,247
Grayland,1989,94,103
Mayfair,1989,72,98
Forest Glen,1989,124,113
Edgebrook,1989,337,344
Morton Grove,1989,539,536
Golf,1989,158,164
Glenview,1989,1512,1464
Northbrook,1989,1430,1371
Deerfield,1989,1528,1516
Lake Forest (West),1989,408,383
Libertyville,1989,1080,1061
Grayslake,1989,269,257
Round Lake,1989,406,407
Long Lake,1989,75,67
Ingleside,1989,25,27
Fox Lake,1989,495,479
Ravenswood,1989,562,564
Rogers Park,1989,742,687
Main Street (Evanston),1989,697,731
Davis Street (Evanston),1989,951,961
Central Street (Evanston),1989,1118,1030
Wilmette,1989,1465,1367
Kenilworth,1989,456,448
Indian Hill,1989,395,356
Winnetka,1989,672,666
Hubbard Woods,1989,480,455
Glencoe,1989,841,813
Braeside,1989,295,295
Ravinia,1989,386,371
Highland Park,1989,1166,1135
Highwood,1989,267,258
Fort Sheridan,1989,354,322
Lake Forest,1989,753,705
Lake Bluff,1989,328,340
Great Lakes,1989,109,106
North Chicago,1989,179,179
Waukegan,1989,694,682
Zion,1989,78,85
Winthrop Harbor,1989,17,17
Kenosha,1989,207,208
Hammond,1989,675,654
East Chicago,1989,1580,1592
Gary / Chicago Airport,1989,133,165
Ambridge,1989,17,20
Gary Metro Center,1989,771,817
Miller,1989,303,304
Ogden Dunes,1989,241,212
Dune Acres,1989,19,43
Dune Park,1989,272,271
Beverly Shores,1989,37,43
Willard Ave.,1989,0,2
11th Street (Michigan City),1989,124,143
Carroll Avenue (Michigan City),1989,94,101
Rolling Prairie,1989,1,1
Hudson Lake,1989,1,1
South Bend Airport,1989,79,73
Glenn,1989,80,90
Clyde,1989,128,143
Hermosa,1989,68,74
Cragin,1989,54,48
Stony Island,1987,192,186
Bryn Mawr,1987,153,190
South Shore,1987,338,346
Windsor Park,1987,293,274
Cheltenham (79th Street),1987,236,265
83rd Street,1987,505,562
87th Street,1987,303,339
93rd Street (South Chicago),1987,881,985
Hegewisch,1987,1742,1846
State Street,1987,91,80
Stewart Ridge,1987,64,51
West Pullman,1987,44,67
Racine Avenue,1987,42,37
Ashland Avenue,1987,176,178
Burr Oak,1987,325,339
Blue Island,1987,366,327
Millennium Station,1987,17509,16020
Van Buren Street,1987,7261,8908
Roosevelt Road,1987,302,457
18th Street,1987,11,24
McCormick Place,1987,175,129
27th Street,1987,135,160
47th Street (Kenwood),1987,35,59
53rd Street (Hyde Park),1987,570,580
55th-56th-57th Street,1987,527,548
59th Street (University of Chicago),1987,836,726
63rd Street,1987,120,103
75th Street (Grand Crossing),1987,29,29
79th Street (Chatham),1987,113,98
83rd Street (Avalon Park),1987,48,56
87th Street (Woodruff),1987,57,62
91st Street (Chesterfield),1987,35,41
95th Street (Chicago State University),1987,43,41
103rd Street (Rosemoor),1987,51,61
107th Street,1987,37,35
111th Street,1987,42,52
Kensington (115th Street),1987,862,894
Riverdale,1987,698,722
Ivanhoe,1987,1365,1356
147th Street (Sibley Boulevard),1987,1321,1278
Harvey,1987,1528,1521
Hazel Crest,1987,792,772
Calumet,1987,1052,1020
Homewood,1987,1715,1747
Flossmoor,1987,1514,1443
Olympia Fields,1987,338,351
211th Street (Lincoln Highway),1987,672,634
Matteson,1987,1492,1360
Richton Park,1987,1619,1548
University Park,1987,628,629
LaSalle Street,1987,13248,13637
Gresham,1987,179,191
Longwood (95th Street),1987,91,104
Washington Heights,1987,95,136
Blue Island (Vermont Street),1987,914,853
Robbins,1987,53,107
Midlothian,1987,1133,1129
Oak Forest,1987,1570,1530
Tinley Park,1987,1106,1109
80th Avenue (Tinley Park),1987,1178,1027
Mokena,1987,504,459
New Lenox,1987,562,515
Joliet,1987,456,451
Brainerd,1987,213,214
91st Street (Beverly Hills),1987,604,640
95th Street (Beverly Hills),1987,795,778
99th Street (Beverly Hills),1987,839,823
103rd Street (Beverly Hills),1987,1206,1227
107th Street (Beverly Hills),1987,626,556
111th Street (Morgan Park),1987,946,956
115th Street (Morgan Park),1987,298,255
119th Street,1987,484,431
123rd Street,1987,71,48
Prairie Street,1987,90,90
Union Station,1987,39510,40140
Wrightwood,1987,220,211
Ashburn,1987,322,319
Oak Lawn,1987,704,718
Chicago Ridge,1987,425,425
Worth,1987,335,301
Palos Park,1987,151,137
143rd Street (Orland Park),1987,359,341
Summit,1987,107,94
Willow Springs,1987,136,149
Lemont,1987,239,223
Lockport,1987,79,93
Halsted Street,1987,37,44
Western Avenue (18th),1987,95,102
Cicero,1987,213,212
LaVergne,1987,346,285
Berwyn,1987,882,997
Harlem Avenue,1987,758,686
Riverside,1987,510,521
Hollywood,1987,170,151
Brookfield,1987,705,696
Congress Park,1987,149,149
LaGrange Road,1987,1567,1551
Stone Avenue (LaGrange),1987,1089,961
Western Springs,1987,1121,1175
Highlands,1987,256,253
Hinsdale,1987,1194,1138
West Hinsdale,1987,468,397
Clarendon Hills,1987,1117,1087
Westmont,1987,1268,1322
Fairview Avenue (Downers Grove),1987,612,539
Main Street (Downers Grove),1987,2090,2049
Belmont,1987,1460,1318
Lisle,1987,2150,2333
Naperville,1987,3791,3664
Aurora,1987,985,976
Kedzie,1987,31,47
Oak Park (Marion Street),1987,566,656
River Forest,1987,192,191
Maywood,1987,115,111
Melrose Park,1987,143,135
Bellwood,1987,214,178
Berkeley,1987,246,256
Elmhurst,1987,1787,1739
Villa Park,1987,1328,1272
Lombard,1987,1385,1397
Glen Ellyn,1987,2280,2144
College Avenue,1987,993,964
Wheaton,1987,2132,2102
Winfield,1987,546,488
West Chicago,1987,474,504
Geneva,1987,1124,1134
Western Avenue (Grand),1987,223,242
Hanson Park,1987,42,44
Galewood,1987,244,249
Mars,1987,114,94
Mont Clare,1987,427,464
Elmwood Park,1987,483,492
River Grove,1987,222,224
Franklin Park,1987,533,546
Mannheim,1987,31,48
Bensenville,1987,448,472
Wood Dale,1987,579,566
Itasca,1987,481,483
Medinah,1987,265,298
Roselle,1987,1736,1795
Schaumburg,1987,961,950
Hanover Park,1987,855,849
Bartlett,1987,805,834
National Street,1987,183,206
Elgin,1987,463,476
Big Timber Road,1987,41,22
Ogilvie Transportation Center,1987,37522,38425
Clybourn,1987,486,487
Irving Park,1987,225,229
Jefferson Park,1987,537,580
Gladstone Park,1987,67,78
Norwood Park,1987,170,207
Edison Park,1987,360,349
Park Ridge,1987,801,761
Dee Road,1987,432,436
Des Plaines,1987,1159,1069
Cumberland,1987,546,591
Mount Prospect,1987,2253,2243
Arlington Heights,1987,2953,2875
Arlington Park,1987,1834,1740
Palatine,1987,1919,1837
Barrington,1987,1945,1842
Fox River Grove,1987,228,280
Cary,1987,516,511
Crystal Lake,1987,1084,1130
Woodstock,1987,308,256
Harvard,1987,112,156
McHenry,1987,199,124
Healy,1987,227,215
Grayland,1987,83,95
Mayfair,1987,78,105
Forest Glen,1987,102,97
Edgebrook,1987,328,307
Morton Grove,1987,583,571
Golf,1987,181,170
Glenview,1987,1546,1490
Northbrook,1987,1361,1247
Deerfield,1987,1447,1374
Lake Forest (West),1987,325,310
Libertyville,1987,1010,944
Grayslake,1987,294,286
Round Lake,1987,356,358
Long Lake,1987,59,52
Ingleside,1987,23,25
Fox Lake,1987,445,455
Ravenswood,1987,511,431
Rogers Park,1987,611,685
Main Street (Evanston),1987,667,658
Davis Street (Evanston),1987,787,817
Central Street (Evanston),1987,1039,1016
Wilmette,1987,1375,1375
Kenilworth,1987,532,491
Indian Hill,1987,407,365
Winnetka,1987,671,711
Hubbard Woods,1987,502,459
Glencoe,1987,873,842
Braeside,1987,313,310
Ravinia,1987,366,345
Highland Park,1987,1155,1100
Highwood,1987,261,250
Fort Sheridan,1987,394,334
Lake Forest,1987,729,707
Lake Bluff,1987,374,348
Great Lakes,1987,96,102
North Chicago,1987,145,148
Waukegan,1987,644,649
Zion,1987,85,83
Winthrop Harbor,1987,24,23
Kenosha,1987,208,208
Load between Hegewisch and Hammond,1987,3756,3503
Glenn,1987,93,99
Lockport/5th,1987,17,20
Clyde,1987,129,114
Hermosa,1987,79,72
Cragin,1987,61,61
Stony Island,1985,182,240
Bryn Mawr,1985,190,254
South Shore,1985,387,393
Windsor Park,1985,378,361
Cheltenham (79th Street),1985,284,306
83rd Street,1985,475,541
87th Street,1985,272,334
93rd Street (South Chicago),1985,715,865
Hegewisch,1985,1407,1604
State Street,1985,81,70
Stewart Ridge,1985,68,71
West Pullman,1985,66,66
Racine Avenue,1985,32,48
Ashland Avenue,1985,123,165
Burr Oak,1985,279,290
Blue Island,1985,336,342
Millennium Station,1985,17815,15741
Van Buren Street,1985,6522,7751
Roosevelt Road,1985,525,485
18th Street,1985,27,27
McCormick Place,1985,199,208
27th Street,1985,120,148
47th Street (Kenwood),1985,31,55
53rd Street (Hyde Park),1985,641,674
55th-56th-57th Street,1985,478,598
59th Street (University of Chicago),1985,816,546
63rd Street,1985,87,82
75th Street (Grand Crossing),1985,24,24
79th Street (Chatham),1985,65,93
83rd Street (Avalon Park),1985,57,53
87th Street (Woodruff),1985,41,55
91st Street (Chesterfield),1985,38,43
95th Street (Chicago State University),1985,24,45
103rd Street (Rosemoor),1985,27,51
107th Street,1985,32,32
111th Street,1985,48,93
Kensington (115th Street),1985,796,775
Riverdale,1985,794,841
Ivanhoe,1985,1570,1708
147th Street (Sibley Boulevard),1985,1123,1268
Harvey,1985,1574,1770
Hazel Crest,1985,740,749
Calumet,1985,944,931
Homewood,1985,1625,1625
Flossmoor,1985,1552,1485
Olympia Fields,1985,405,380
211th Street (Lincoln Highway),1985,589,587
Matteson,1985,1295,1188
Richton Park,1985,1586,1404
University Park,1985,475,564
LaSalle Street,1985,11464,11628
Gresham,1985,81,85
Longwood (95th Street),1985,54,49
Washington Heights,1985,74,89
Blue Island (Vermont Street),1985,739,780
Robbins,1985,60,49
Midlothian,1985,1025,947
Oak Forest,1985,1299,1263
Tinley Park,1985,967,964
80th Avenue (Tinley Park),1985,759,685
Mokena,1985,371,356
New Lenox,1985,360,360
Joliet,1985,345,482
Brainerd,1985,262,157
91st Street (Beverly Hills),1985,561,547
95th Street (Beverly Hills),1985,760,818
99th Street (Beverly Hills),1985,767,790
103rd Street (Beverly Hills),1985,1216,1202
107th Street (Beverly Hills),1985,494,474
111th Street (Morgan Park),1985,862,850
115th Street (Morgan Park),1985,227,197
119th Street,1985,499,455
123rd Street,1985,70,117
Prairie Street,1985,82,80
Union Station,1985,35968,36783
Wrightwood,1985,138,138
Ashburn,1985,299,298
Oak Lawn,1985,486,477
Chicago Ridge,1985,257,253
Worth,1985,234,232
Palos Park,1985,111,98
143rd Street (Orland Park),1985,151,134
Summit,1985,73,76
Willow Springs,1985,96,41
Lemont,1985,171,139
Lockport,1985,67,59
Halsted Street,1985,52,70
Western Avenue (18th),1985,115,114
Cicero,1985,232,224
LaVergne,1985,267,239
Berwyn,1985,803,911
Harlem Avenue,1985,718,564
Riverside,1985,570,562
Hollywood,1985,147,182
Brookfield,1985,691,651
Congress Park,1985,168,145
LaGrange Road,1985,1529,1469
Stone Avenue (LaGrange),1985,985,1014
Western Springs,1985,1151,1062
Highlands,1985,231,207
Hinsdale,1985,1196,1115
West Hinsdale,1985,411,408
Clarendon Hills,1985,1032,951
Westmont,1985,1314,1293
Fairview Avenue (Downers Grove),1985,635,576
Main Street (Downers Grove),1985,2051,2001
Belmont,1985,1400,1300
Lisle,1985,2219,2256
Naperville,1985,3251,3177
Aurora,1985,905,964
Kedzie,1985,33,46
Oak Park (Marion Street),1985,374,535
River Forest,1985,146,84
Maywood,1985,96,94
Melrose Park,1985,112,137
Bellwood,1985,225,228
Berkeley,1985,207,205
Elmhurst,1985,1635,1691
Villa Park,1985,1206,1265
Lombard,1985,1360,1270
Glen Ellyn,1985,1999,1937
College Avenue,1985,838,843
Wheaton,1985,1901,1820
Winfield,1985,465,373
West Chicago,1985,386,359
Geneva,1985,955,978
Western Avenue (Grand),1985,296,297
Hanson Park,1985,63,69
Galewood,1985,212,209
Mars,1985,80,72
Mont Clare,1985,313,319
Elmwood Park,1985,521,492
River Grove,1985,254,246
Franklin Park,1985,464,475
Mannheim,1985,45,49
Bensenville,1985,476,510
Wood Dale,1985,563,566
Itasca,1985,565,543
Medinah,1985,215,283
Roselle,1985,1621,1619
Schaumburg,1985,693,648
Hanover Park,1985,765,768
Bartlett,1985,712,764
National Street,1985,222,227
Elgin,1985,495,409
Ogilvie Transportation Center,1985,33259,34143
Clybourn,1985,385,375
Irving Park,1985,196,193
Jefferson Park,1985,434,433
Gladstone Park,1985,81,63
Norwood Park,1985,195,193
Edison Park,1985,328,344
Park Ridge,1985,850,772
Dee Road,1985,373,345
Des Plaines,1985,1141,1052
Cumberland,1985,567,583
Mount Prospect,1985,2220,2091
Arlington Heights,1985,2727,2646
Arlington Park,1985,1479,1505
Palatine,1985,1586,1541
Barrington,1985,1631,1604
Fox River Grove,1985,195,238
Cary,1985,478,433
Crystal Lake,1985,954,997
Woodstock,1985,183,224
Harvard,1985,104,105
McHenry,1985,74,84
Healy,1985,244,208
Grayland,1985,109,115
Mayfair,1985,66,74
Forest Glen,1985,75,86
Edgebrook,1985,266,243
Morton Grove,1985,538,499
Golf,1985,143,151
Glenview,1985,1329,1351
Northbrook,1985,1406,1354
Deerfield,1985,1439,1326
Lake Forest (West),1985,249,278
Libertyville,1985,817,845
Grayslake,1985,229,238
Round Lake,1985,333,330
Long Lake,1985,62,55
Ingleside,1985,22,24
Fox Lake,1985,457,450
Ravenswood,1985,353,311
Rogers Park,1985,511,488
Main Street (Evanston),1985,556,580
Davis Street (Evanston),1985,709,682
Central Street (Evanston),1985,845,833
Wilmette,1985,1245,1247
Kenilworth,1985,470,418
Indian Hill,1985,349,321
Winnetka,1985,656,658
Hubbard Woods,1985,480,452
Glencoe,1985,809,716
Braeside,1985,286,272
Ravinia,1985,339,310
Highland Park,1985,1204,1132
Highwood,1985,236,213
Fort Sheridan,1985,313,324
Lake Forest,1985,715,647
Lake Bluff,1985,302,302
Great Lakes,1985,93,88
North Chicago,1985,158,178
Waukegan,1985,614,630
Zion,1985,67,74
Winthrop Harbor,1985,18,21
Kenosha,1985,169,149
Load between Hegewisch and Hammond,1985,3456,3387
"99th Street, Longwood",1985,25,26
Glenn,1985,72,78
Lockport/5th,1985,14,32
Clyde,1985,116,150
Hermosa,1985,90,107
Cragin,1985,104,110
Abbott Platform,1985,20,20
Stony Island,1983,175,165
Bryn Mawr,1983,153,209
South Shore,1983,349,379
Windsor Park,1983,266,304
Cheltenham (79th Street),1983,232,235
83rd Street,1983,417,453
87th Street,1983,211,258
93rd Street (South Chicago),1983,635,744
Hegewisch,1983,1042,1089
State Street,1983,51,66
Stewart Ridge,1983,48,48
West Pullman,1983,57,51
Racine Avenue,1983,41,32
Ashland Avenue,1983,166,156
Burr Oak,1983,350,363
Blue Island,1983,393,356
Millennium Station,1983,15292,12813
Van Buren Street,1983,5866,7444
Roosevelt Road,1983,410,484
18th Street,1983,19,19
McCormick Place,1983,171,222
27th Street,1983,77,103
47th Street (Kenwood),1983,18,43
53rd Street (Hyde Park),1983,427,518
55th-56th-57th Street,1983,676,650
59th Street (University of Chicago),1983,513,426
63rd Street,1983,139,97
75th Street (Grand Crossing),1983,61,30
79th Street (Chatham),1983,70,83
83rd Street (Avalon Park),1983,46,43
87th Street (Woodruff),1983,41,39
91st Street (Chesterfield),1983,30,26
95th Street (Chicago State University),1983,17,30
103rd Street (Rosemoor),1983,17,27
107th Street,1983,18,26
111th Street,1983,46,44
Kensington (115th Street),1983,878,810
Riverdale,1983,747,780
Ivanhoe,1983,1529,1600
147th Street (Sibley Boulevard),1983,990,970
Harvey,1983,1229,1393
Hazel Crest,1983,610,602
Calumet,1983,764,765
Homewood,1983,1602,1666
Flossmoor,1983,1273,1341
Olympia Fields,1983,265,273
211th Street (Lincoln Highway),1983,796,958
Matteson,1983,1080,910
Richton Park,1983,1140,1247
University Park,1983,411,457
LaSalle Street,1983,10286,10115
Gresham,1983,49,76
Longwood (95th Street),1983,27,43
Washington Heights,1983,80,60
Blue Island (Vermont Street),1983,679,652
Robbins,1983,27,36
Midlothian,1983,864,865
Oak Forest,1983,1019,1076
Tinley Park,1983,910,887
80th Avenue (Tinley Park),1983,632,665
